Year,Quarter,National,East,West,South,Middle,Hotel,Apartment,Retail,Industrial,Office
1989,1,1.75,2.2,1.28,2.16,1.51,-0.53,2.02,2.41,2.09,1.18
1989,2,2,2.78,2.2,1.16,1.19,-0.69,0.97,3.02,1.86,1.63
1989,3,2.05,1.62,2.56,1.01,2.8,-0.86,2.73,2.6,2.86,1.25
1989,4,1.75,1.2,1.98,0.8,3.16,0.76,2.83,3.96,1.67,0.03
1990,1,1.38,1.39,1.41,1.39,1.29,0.77,2.28,1.63,1.21,1.12
1990,2,1.52,1.25,1.61,2.18,1.14,1.73,1.68,2.5,1.49,0.77
1990,3,0.84,0.71,1.16,0.12,1.06,-0.14,1.52,1.36,0.57,0.49
1990,4,-1.43,-1.79,-1.18,-1.52,-1.29,2.1,0.21,0.35,-1.31,-3.38
1991,1,0.05,-0.54,0.05,0.56,0.45,-0.28,-0.05,0.9,-0.06,-0.57
1991,2,0.01,-0.32,0.16,-0.4,0.63,1.02,1.13,0.62,0.7,-1.26
1991,3,-0.33,-1.19,-0.62,0.86,0.44,5.54,0.43,0.35,-0.7,-1.26
1991,4,-5.33,-6.32,-4.6,-4.23,-6.37,-1.65,-2.82,-3.67,-3.8,-8.65
1992,1,-0.03,-0.82,-0.07,0.35,0.99,-1.8,0.83,0.12,-0.46,-0.05
1992,2,-1.03,-1.23,-1.14,-0.54,-0.97,-0.14,0.05,-0.75,-0.74,-1.88
1992,3,-0.44,-0.08,-1.3,-0.35,0.69,-0.79,0.27,0.07,-0.73,-0.99
1992,4,-2.81,-3.01,-3.85,-1.34,-1.85,0.38,0.56,-1.7,-2.6,-5.3
1993,1,0.77,0.19,0.68,1.66,0.96,1.21,1.21,0.95,0.6,0.5
1993,2,-0.24,0.77,-2.68,1.56,1.18,1.52,1.54,1.03,-1.02,-1.94
1993,3,1.1,1.33,0.31,1.67,1.66,1.95,2,1.55,0.64,0.49
1993,4,-0.25,0.04,-1.1,1.24,-0.66,2.22,3.72,1.22,-0.97,-3.01
1994,1,1.31,1.19,1.01,1.62,1.69,3.17,2.48,1.08,1.5,0.91
1994,2,1.54,1.54,1.22,1.74,1.87,2.39,2.6,1.27,1.25,1.56
1994,3,1.51,1.04,1.23,2.24,1.91,-4.05,2.46,2.08,2.26,0.31
1994,4,1.88,1.78,2.09,2.11,1.46,4.04,4.03,1.45,2.41,1.09
1995,1,2.11,1.63,2.34,2.36,2.17,1.56,2.49,1.75,3.05,1.91
1995,2,2.08,2.36,2.22,1.83,1.72,4.31,2.66,1.46,3.03,1.98
1995,3,2.06,2.11,2.29,1.87,1.83,3.86,2.63,1.32,2.93,2.17
1995,4,1.09,0.88,1.72,1.12,0.33,5.86,3.41,-0.58,2.76,0.94
1996,1,2.4,2.48,2.7,2.33,1.86,3.64,2.68,1.68,3.17,2.67
1996,2,2.29,2.34,2.62,2.12,1.9,6.35,2.85,1.32,2.69,2.74
1996,3,2.63,2.95,3.04,2.13,2.08,11.74,2.63,1.74,3.74,2.57
1996,4,2.61,2,3.88,2.23,1.95,4.72,2.91,0.04,3.33,4.96
1997,1,2.34,2.2,2.9,1.6,2.47,5.88,2.28,1.24,3.12,3.04
1997,2,2.82,2.6,3.57,2.27,2.59,5.48,2.91,1.64,3.68,3.36
1997,3,3.38,3.53,3.77,2.94,3.06,3.92,3.29,2.33,4.41,3.87
1997,4,4.71,5.26,5.12,4.29,3.59,12.41,3.85,3.07,3.86,6.55
1998,1,4.14,4.25,4.47,4.13,3.27,6.79,3.29,2.92,3.71,5.5
1998,2,4.19,3.68,5.52,3.95,2.76,3.85,3.24,3.52,4.64,4.87
1998,3,3.46,3.46,3.49,3.59,3.22,2.83,3.55,2.76,3.69,3.79
1998,4,3.55,3.78,3.58,3.17,3.61,1.58,3.35,3.13,2.97,4.17
1999,1,2.59,2.86,2.7,2.47,2.05,1.87,2.85,2.21,2.54,2.78
1999,2,2.62,2.56,2.9,2.31,2.58,2.53,2.53,2.27,2.82,2.8
1999,3,2.81,3.13,2.68,2.27,3.21,4.01,2.67,2.16,2.97,3.17
1999,4,2.89,3.05,3.44,2.23,2.35,3.77,3.19,2.59,2.83,2.95
2000,1,2.4,2.36,2.96,1.97,1.91,1.34,2.37,1.99,2.46,2.66
2000,2,3.05,3.03,4.04,2.15,2.36,2.81,2.91,2.05,3.64,3.48
2000,3,2.94,3.35,3.46,2.24,2.04,3.43,3.08,1.91,3.44,3.31
2000,4,3.33,3.68,4.63,1.92,1.88,-0.13,4.05,1.6,3.81,3.97
2001,1,2.36,2.45,2.57,1.98,2.25,1.77,2.48,2.21,2.5,2.35
2001,2,2.47,2.67,2.93,2.02,1.7,1.88,2.78,1.88,3.37,2.32
2001,3,1.6,1.57,1.77,1.68,1.11,-4.18,2.24,1.28,2.03,1.45
2001,4,0.67,1.24,0.48,0.72,0.03,-2.97,1.56,1.21,1.11,-0.04
2002,1,1.51,1.65,1.44,1.54,1.4,1.59,1.99,1.88,1.85,0.95
2002,2,1.61,2.34,1.38,1.22,1.35,1.51,1.85,3.55,1.19,0.78
2002,3,1.79,2.18,1.74,1.52,1.57,3.19,2.63,3.07,1.81,0.81
2002,4,1.67,2.5,1.42,0.97,1.69,1.09,2.01,4.6,1.68,0.21
2003,1,1.88,2.28,1.88,1.79,1.28,0.15,2.25,2.86,2.09,1.23
2003,2,2.09,2.4,2.04,1.64,2.25,2.94,2.3,3.98,1.28,1.44
2003,3,1.97,2.27,1.85,1.9,1.8,2.5,2.03,3.04,2.26,1.25
2003,4,2.76,3.56,2.96,2.25,1.36,0.37,2.04,6.29,2.35,1.63
2004,1,2.56,2.97,2.54,2.45,1.91,1.64,3,3,2.39,2.24
2004,2,3.13,3.39,3.35,2.41,3.05,2.56,2.73,5.35,2.68,2.36
2004,3,3.42,3.47,3.72,2.99,3.22,2.23,2.88,5.08,2.74,3.17
2004,4,4.66,5.09,4.92,4.12,3.79,3.37,3.84,7.83,3.75,3.74
2005,1,3.51,4.24,3.49,2.99,2.65,1.88,3.68,4.48,2.84,3.25
2005,2,5.34,5.79,5.62,5.45,3.3,6.72,5.72,4.31,7.23,4.77
2005,3,4.44,4.32,4.84,4.54,3.49,3.01,4.52,3.88,3.99,5.06
2005,4,5.43,5.69,5.62,5.55,3.97,6.24,5.76,5.99,4.92,5.12
2006,1,3.62,3.85,3.87,3.36,2.68,3.9,3.52,3.41,3.34,3.91
2006,2,4.01,3.72,4.81,3.91,2.63,6.27,3.85,2.96,5.09,4.1
2006,3,3.51,3.45,3.98,3.42,2.39,4.55,2.91,2.97,3.47,4.14
2006,4,4.51,5.67,4.63,3.28,3.3,7.04,3.61,3.39,4.09,5.77
2007,1,3.62,3.7,4.15,2.88,3.13,3.56,2.87,3.14,3.22,4.6
2007,2,4.59,4.3,5.62,3.93,3.43,5,3.26,3.42,5.14,5.93
2007,3,3.56,4.03,3.59,3.01,3.1,4.41,2.93,2.41,3.19,4.76
2007,4,3.21,3.12,3.8,2.39,3.23,4.03,1.85,3.91,2.64,3.82
2008,1,1.6,1.58,1.47,2.14,1,1.35,1.26,1.44,1.44,1.96
2008,2,0.56,0.39,0.58,0.9,0.39,0.42,0.29,0.69,0.94,0.52
2008,3,-0.17,-0.01,-0.59,0.11,0.13,0.02,-0.36,0.18,-0.01,-0.31
2008,4,-8.29,-9.7,-8.19,-6.79,-6.7,-10.95,-8.39,-6.3,-7.96,-9.26
2009,1,-7.33,-8.43,-7.65,-5.79,-5.63,-8.55,-8.7,-4.31,-7.5,-7.97
2009,2,-5.2,-5.21,-5.75,-4.6,-4.46,-5.46,-5.13,-3.03,-5.09,-6.52
2009,3,-3.32,-2.44,-4.49,-3.15,-2.43,-4.47,-3,-3.14,-3.94,-3.3
2009,4,-2.11,-2.21,-2.64,-1.6,-1.09,-3.63,-1.81,-0.92,-2.59,-2.75
2010,1,0.76,0.51,1.05,0.81,0.52,-0.42,0.42,1.13,0.64,0.86
2010,2,3.31,4.43,3.02,2.77,1.81,2.7,4.44,2.81,2.22,3.37
2010,3,3.86,4.17,3.84,3.59,3.5,3.09,6.04,3.39,2.8,3.12
2010,4,4.62,5.3,4.42,4.42,3.56,3.35,6.29,4.77,3.42,3.93
2011,1,3.36,3.61,3.57,2.98,2.68,3.68,3.34,3.63,3.28,3.19
2011,2,3.94,3.91,4.83,2.99,3.19,3.52,4.21,2.53,4.49,4.45
2011,3,3.3,2.98,3.77,3.2,2.96,2.03,3.6,3.58,3.39,2.96
2011,4,2.96,2.93,2.92,3.13,2.88,2.08,3.48,3.37,2.69,2.51
2012,1,2.59,2.06,3.05,2.72,2.52,1.5,2.79,2.81,2.7,2.34
2012,2,2.68,2.41,3.1,2.65,2.3,2.13,2.77,3.04,2.92,2.34
2012,3,2.34,2.06,2.65,2.31,2.27,2.14,2.43,2.31,2.32,2.32
2012,4,2.54,2.2,2.67,2.96,2.31,2.24,2.81,2.97,2.37,2.17
2013,1,2.57,2.09,2.77,3.03,2.47,1.15,2.57,3.72,2.5,1.92
2013,2,2.87,2.52,3.09,3.05,2.97,1.95,2.5,3.21,3.22,2.84
2013,3,2.59,2.09,2.77,3.04,2.72,2.11,2.48,2.7,3.14,2.42
2013,4,2.53,2.28,2.71,2.83,2.09,2.27,2.48,2.66,2.93,2.34
2014,1,2.74,2.05,3.09,3.41,2.55,0.79,2.21,4.3,2.75,2.23
2014,2,2.91,2.3,3.35,3.2,2.79,2.63,2.41,3.22,3.26,2.93
2014,3,2.63,2.24,2.95,2.75,2.62,2.93,2.53,2.33,2.92,2.78
2014,4,3.04,2.45,3.54,3.21,2.98,4.31,2.77,2.69,3.87,3.09
2015,1,3.57,2.99,3.82,4.22,3.35,2.52,2.85,4.93,3.47,3.3
2015,2,3.14,2.92,3.44,3.07,2.98,3.54,2.98,2.98,3.78,3.11
2015,3,3.09,2.64,3.59,3.05,2.9,3.52,2.92,3.11,3.67,2.97
2015,4,2.91,2.28,3.6,2.96,2.41,3.03,2.73,3.46,3.19,2.58
2016,1,2.21,1.66,2.75,2.21,2.07,1.16,1.87,2.96,2.96,1.72
2016,2,2.03,1.73,2.46,1.77,1.99,1.46,1.88,2.17,2.9,1.74
